"Papel";"Cotação";"P/L";"P/VP";"PSR";"Div.Yield";"P/Ativo";"P/Cap.Giro";"P/EBIT";"P/Ativ Circ.Liq";"EV/EBIT";"Mrg Ebit";"Mrg. Líq.";"Liq. Corr.";"ROIC";"ROE";"Liq.2meses";"Patrim. Líq";"Dív.Brut/ Patrim.";"Cresc. Rec.5a"
"QUAL3";"22,00";"15,93";"2,54";"3,246";"5,94%";"1,659";"97,65";"8,18";"-54,65";"8,13";"39,68%";"20,38%";"1,06";"28,12%";"15,96%";"45.176.100,00";"2.451.560.000,00";"0,28";"5,58%"
"CRTP5";"62,10";"15,98";"1,71";"1,748";"0,00%";"1,127";"3,98";"14,09";"5,88";"12,48";"12,40%";"10,94%";"2,14";"12,36%";"10,68%";"0,00";"1.210.570.000,00";"0,12";"10,11%"
"CSRN6";"16,91";"16,08";"3,05";"1,402";"7,57%";"0,881";"11,99";"9,53";"-1,85";"14,69";"14,72%";"8,72%";"1,46";"10,50%";"18,97%";"317,71";"931.570.000,00";"1,83";"5,31%"
"WHRL4";"4,90";"16,23";"2,89";"1,306";"14,77%";"0,888";"5,04";"35,61";"8,25";"32,10";"3,67%";"7,99%";"1,28";"4,04%";"17,79%";"248.898,00";"2.550.190.000,00";"0,10";"-9,64%"
"ILMD4";"30,00";"16,28";"2,72";"0,707";"0,00%";"1,443";"5,89";"14,62";"7,79";"13,62";"4,84%";"4,92%";"1,60";"12,52%";"16,69%";"0,00";"658.715.000,00";"0,02";"0,65%"
"DURA4";"31,39";"16,35";"2,22";"2,182";"0,00%";"1,224";"17,24";"10,12";"-10,49";"11,47";"21,56%";"13,39%";"1,27";"14,38%";"13,59%";"0,00";"1.789.980.000,00";"0,52";"10,94%"
"GEPA4";"44,90";"16,35";"2,46";"3,054";"7,43%";"0,948";"-66,42";"8,38";"-2,85";"9,29";"36,46%";"18,68%";"0,95";"20,11%";"15,03%";"36.452,80";"1.724.630.000,00";"0,89";"4,76%"
"HYPE3";"31,35";"16,38";"2,32";"6,130";"3,38%";"1,883";"7,99";"30,50";"12,09";"29,45";"20,10%";"37,43%";"3,21";"7,13%";"14,14%";"54.069.900,00";"8.557.620.000,00";"0,06";"-2,94%"
"KEPL3";"20,86";"16,42";"1,24";"0,893";"0,47%";"0,823";"4,67";"12,55";"6,60";"13,19";"7,12%";"5,44%";"1,62";"7,52%";"7,57%";"1.027.750,00";"441.589.000,00";"0,15";"-6,04%"
"WHRL3";"4,96";"16,43";"2,92";"1,322";"13,27%";"0,899";"5,10";"36,04";"8,35";"32,53";"3,67%";"7,99%";"1,28";"4,04%";"17,79%";"36.851,80";"2.550.190.000,00";"0,10";"-9,64%"
"ENGI4";"9,05";"16,44";"2,93";"0,928";"2,36%";"0,438";"3,41";"8,51";"-0,84";"15,35";"10,90%";"5,96%";"1,70";"5,97%";"17,84%";"42.348,10";"5.599.070.000,00";"2,99";"13,03%"
"UGPA3";"19,38";"16,46";"2,25";"0,238";"3,25%";"0,692";"2,20";"12,19";"-3,65";"18,13";"1,95%";"1,44%";"2,76";"7,74%";"13,69%";"123.053.000,00";"9.572.320.000,00";"1,75";"6,12%"
"PRIO3";"17,48";"16,52";"2,38";"2,817";"0,00%";"0,566";"-9,94";"10,73";"-0,93";"15,16";"26,25%";"17,05%";"0,73";"5,81%";"14,39%";"17.857.700,00";"1.031.760.000,00";"1,24";"28,67%"
"DURA3";"31,90";"16,62";"2,26";"2,218";"0,00%";"1,244";"17,52";"10,29";"-10,66";"11,64";"21,56%";"13,39%";"1,27";"14,38%";"13,59%";"0,00";"1.789.980.000,00";"0,52";"10,94%"
"DPPI3";"85,00";"16,65";"4,99";"-1,453";"0,00%";"3,753";"8,70";"190,72";"9,75";"177,18";"-0,76%";"-5,04%";"3,14";"3,00%";"29,97%";"0,00";"545.227.000,00";"0,06";"15,14%"
"CSRN5";"17,51";"16,66";"3,16";"1,452";"7,32%";"0,912";"12,42";"9,86";"-1,92";"15,03";"14,72%";"8,72%";"1,46";"10,50%";"18,97%";"120,81";"931.570.000,00";"1,83";"5,31%"
"SULA11";"47,52";"16,84";"2,77";"0,900";"1,30%";"0,692";"1,91";"21,89";"-21,72";"5,12";"4,11%";"5,34%";"2,02";"8,03%";"16,42%";"51.771.300,00";"6.772.900.000,00";"0,30";"10,06%"
"PNVL4";"289,00";"17,24";"2,73";"0,522";"2,39%";"1,082";"6,29";"9,71";"-49,81";"12,40";"5,38%";"3,03%";"1,42";"14,18%";"15,86%";"25.133,40";"477.291.000,00";"0,78";"6,64%"
"BMTO4";"7,57";"17,27";"2,07";"0,000";"0,00%";"2,030";"0,00";"-2.625,16";"0,00";"-2.624,05";"0,00%";"0,00%";"0,00";"0,00%";"12,00%";"0,00";"1.046.320.000,00";"0,00";"0,00%"
"GBIO33";"9,01";"17,31";"1,30";"1,232";"0,00%";"0,795";"3,12";"5,86";"13,25";"6,85";"21,03%";"7,12%";"2,30";"16,15%";"7,54%";"3.211.210,00";"736.585.000,00";"0,32";"-4,88%"
"WLMM4";"8,30";"17,49";"0,77";"0,381";"2,51%";"0,611";"2,63";"27,79";"4,47";"25,38";"1,37%";"2,17%";"3,22";"2,45%";"4,37%";"19.905,90";"394.881.000,00";"0,02";"1,68%"
"CSRN3";"18,40";"17,50";"3,32";"1,526";"6,33%";"0,959";"13,05";"10,37";"-2,01";"15,53";"14,72%";"8,72%";"1,46";"10,50%";"18,97%";"3.703,00";"931.570.000,00";"1,83";"5,31%"
"BFIT4";"0,93";"17,55";"1,96";"0,000";"0,00%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"11,15%";"0,00";"1.849.420.000,00";"0,00";"35,67%"
"PTNT3";"7,50";"17,58";"1,78";"0,676";"3,39%";"0,687";"8,77";"11,96";"-15,81";"13,99";"5,65%";"6,38%";"1,19";"7,36%";"10,14%";"66,67";"202.162.000,00";"0,58";"4,47%"
"CPFE3";"33,98";"17,66";"3,60";"1,355";"1,25%";"0,891";"29,91";"9,02";"-1,98";"12,94";"15,03%";"8,02%";"1,13";"11,63%";"20,41%";"104.379.000,00";"10.868.100.000,00";"1,88";"13,17%"
"ALLL3";"3,97";"17,70";"0,82";"0,907";"0,00%";"0,220";"4,60";"3,29";"-0,37";"8,42";"27,55%";"5,25%";"1,57";"7,03%";"4,65%";"0,00";"7.524.720.000,00";"1,41";"17,68%"
"EGIE3";"47,50";"17,72";"5,39";"4,165";"5,86%";"1,405";"155,06";"10,56";"-2,37";"13,82";"39,42%";"23,51%";"1,07";"14,47%";"30,41%";"67.912.600,00";"7.191.510.000,00";"1,89";"8,85%"
"TGMA3";"33,70";"17,77";"4,31";"1,677";"2,92%";"2,472";"10,74";"10,63";"-66,73";"11,21";"15,77%";"9,44%";"2,44";"27,44%";"24,27%";"7.144.350,00";"515.840.000,00";"0,44";"2,54%"
"SEER3";"27,53";"17,79";"2,32";"2,836";"8,95%";"1,292";"4,99";"13,83";"-80,61";"11,63";"20,51%";"15,94%";"2,53";"13,97%";"13,05%";"15.344.400,00";"1.526.640.000,00";"0,20";"10,76%"
"BMTO3";"7,82";"17,84";"2,14";"0,000";"0,00%";"2,097";"0,00";"-2.711,85";"0,00";"-2.710,74";"0,00%";"0,00%";"0,00";"0,00%";"12,00%";"0,00";"1.046.320.000,00";"0,00";"0,00%"
"UCOP4";"6,50";"18,01";"1,30";"19,050";"0,00%";"0,844";"5,14";"22,70";"-8,61";"24,17";"83,92%";"110,51%";"13,37";"3,91%";"7,23%";"0,00";"972.713.000,00";"0,16";"9,25%"
"EQTL3";"95,69";"18,11";"3,38";"1,582";"0,99%";"0,628";"7,81";"7,38";"-1,35";"11,23";"21,43%";"10,82%";"1,34";"10,99%";"18,65%";"117.539.000,00";"5.715.460.000,00";"2,64";"14,78%"
"ENGI11";"50,40";"18,31";"3,27";"1,034";"2,12%";"0,487";"3,80";"9,48";"-0,93";"16,32";"10,90%";"5,96%";"1,70";"5,97%";"17,84%";"52.079.800,00";"5.599.070.000,00";"2,99";"13,03%"
"KROT3";"13,05";"18,39";"1,35";"3,283";"2,09%";"0,638";"7,40";"17,86";"-1,77";"22,45";"18,38%";"17,86%";"2,14";"3,90%";"7,31%";"145.441.000,00";"15.952.000.000,00";"0,47";"8,92%"
"MLFT4";"22,39";"18,44";"1,34";"2,706";"0,00%";"0,367";"3,26";"5,05";"-1,22";"9,18";"53,60%";"32,33%";"3,46";"8,29%";"7,28%";"0,00";"1.465.940.000,00";"1,54";"4,41%"
"BFIT3";"0,98";"18,49";"2,06";"0,000";"0,00%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"11,15%";"0,00";"1.849.420.000,00";"0,00";"35,67%"
"VALE3";"47,18";"18,56";"1,53";"1,752";"0,00%";"0,680";"21,11";"4,33";"-1,78";"5,10";"40,45%";"9,35%";"1,24";"17,51%";"8,23%";"1.024.530.000,00";"163.139.000.000,00";"0,41";"14,17%"
"TMCP3";"56,00";"18,58";"1,38";"1,525";"0,00%";"0,937";"3,85";"24,25";"4,74";"19,68";"6,29%";"9,75%";"2,30";"5,54%";"7,44%";"0,00";"1.798.930.000,00";"0,03";"10,49%"
"SMLE3";"92,82";"18,88";"21,91";"6,635";"0,00%";"6,477";"-124,00";"16,50";"-42,31";"16,32";"40,22%";"35,14%";"0,91";"46,17%";"116,04%";"0,00";"524.731.000,00";"0,00";"36,83%"
"WSON33";"35,00";"19,02";"1,23";"1,494";"6,13%";"0,565";"15,77";"5,62";"-1,45";"9,26";"26,56%";"8,33%";"1,31";"11,32%";"6,46%";"1.342.190,00";"2.028.280.000,00";"0,93";"1,00%"
"SMTO3";"20,51";"19,02";"2,17";"2,167";"1,57%";"0,767";"3,33";"10,49";"-2,65";"14,99";"20,65%";"11,39%";"2,82";"8,55%";"11,41%";"11.576.200,00";"3.344.610.000,00";"1,28";"19,84%"
"KLBN4";"2,95";"19,07";"2,68";"1,491";"6,46%";"0,465";"1,30";"5,53";"-1,26";"10,09";"26,96%";"8,34%";"4,84";"13,16%";"14,05%";"1.302.480,00";"5.955.730.000,00";"4,13";"19,91%"
"TMCP4";"58,20";"19,31";"1,44";"1,585";"0,00%";"0,973";"4,00";"25,21";"4,92";"20,63";"6,29%";"9,75%";"2,30";"5,54%";"7,44%";"0,00";"1.798.930.000,00";"0,03";"10,49%"
"CBEE3";"19,73";"19,86";"0,93";"0,569";"0,00%";"0,306";"22,69";"5,87";"-0,78";"12,59";"9,68%";"2,86%";"1,05";"6,05%";"4,66%";"1.571,00";"3.550.900.000,00";"1,29";"4,68%"
"AUTM3";"19,70";"20,00";"1,90";"0,709";"0,00%";"0,547";"4,08";"6,78";"-2,42";"8,22";"10,47%";"4,31%";"1,48";"11,93%";"9,50%";"0,00";"1.304.250.000,00";"0,97";"28,21%"
"LEVE4";"44,49";"20,08";"4,05";"2,199";"0,00%";"2,318";"8,95";"13,46";"37,67";"13,92";"16,33%";"11,01%";"2,11";"19,88%";"20,18%";"0,00";"1.408.150.000,00";"0,26";"1,68%"
"AEDU11";"37,35";"20,13";"1,13";"1,405";"0,00%";"0,732";"5,77";"13,93";"-7,31";"16,14";"10,08%";"6,98%";"2,04";"5,77%";"5,60%";"0,00";"2.415.400.000,00";"0,30";"20,90%"
"KLBN11";"15,65";"20,24";"2,84";"1,582";"6,09%";"0,494";"1,38";"5,87";"-1,34";"10,42";"26,96%";"8,34%";"4,84";"13,16%";"14,05%";"52.885.200,00";"5.955.730.000,00";"4,13";"19,91%"
"TIET4";"2,45";"20,28";"3,29";"2,377";"7,63%";"0,609";"22,78";"7,17";"-1,05";"11,38";"33,14%";"11,72%";"1,13";"12,68%";"16,21%";"669.306,00";"1.466.650.000,00";"2,88";"-39,00%"
"RAPT3";"8,27";"20,40";"1,82";"0,639";"2,97%";"0,494";"1,56";"6,73";"-6,85";"9,59";"9,49%";"4,36%";"2,25";"10,72%";"8,92%";"71.576,50";"1.571.940.000,00";"1,66";"5,44%"
"TIET11";"12,51";"20,71";"3,36";"2,427";"7,47%";"0,622";"23,27";"7,32";"-1,07";"11,53";"33,14%";"11,72%";"1,13";"12,68%";"16,21%";"13.855.100,00";"1.466.650.000,00";"2,88";"-39,00%"
"SULA3";"19,95";"21,21";"3,48";"1,133";"1,03%";"0,872";"2,41";"27,58";"-27,36";"10,80";"4,11%";"5,34%";"2,02";"8,03%";"16,42%";"12.014,60";"6.772.900.000,00";"0,30";"10,06%"
"MDIA3";"40,20";"21,27";"2,42";"2,225";"1,02%";"1,707";"11,49";"18,09";"81,17";"19,00";"12,30%";"10,46%";"1,88";"10,50%";"11,40%";"21.051.900,00";"5.619.790.000,00";"0,23";"7,65%"
"GPCP3";"20,80";"21,53";"0,77";"0,179";"0,94%";"0,152";"2,18";"24,14";"-0,32";"55,74";"0,74%";"0,91%";"1,31";"0,66%";"3,58%";"584.727,00";"169.239.000,00";"1,04";"18,31%"
"CYRE4";"8,50";"21,56";"0,64";"0,890";"0,00%";"0,348";"0,88";"9,52";"2,12";"11,54";"9,34%";"6,90%";"3,14";"4,28%";"2,97%";"0,00";"5.307.780.000,00";"0,38";"-9,82%"
"PARD3";"20,20";"21,59";"4,24";"2,119";"2,31%";"1,646";"11,75";"15,89";"-5,74";"16,56";"13,34%";"9,84%";"1,76";"12,27%";"19,65%";"7.496.500,00";"623.670.000,00";"0,39";"14,24%"
"PCAR4";"93,24";"21,69";"2,33";"0,480";"1,72%";"0,760";"-45,31";"7,67";"-2,46";"8,13";"6,25%";"2,01%";"0,96";"15,26%";"10,73%";"161.657.000,00";"10.728.000.000,00";"0,58";"-9,22%"
"ECOR3";"11,68";"22,02";"8,29";"1,857";"2,99%";"0,510";"-10,59";"5,74";"-0,78";"11,50";"32,36%";"8,52%";"0,86";"12,13%";"37,65%";"30.903.100,00";"787.268.000,00";"12,45";"5,48%"
"CRTP3";"86,50";"22,26";"2,38";"2,435";"0,00%";"1,570";"5,55";"19,63";"8,19";"18,02";"12,40%";"10,94%";"2,14";"12,36%";"10,68%";"0,00";"1.210.570.000,00";"0,12";"10,11%"
"JSLG3";"18,00";"22,44";"4,51";"0,445";"0,84%";"0,221";"1,31";"3,72";"-0,45";"11,80";"11,97%";"2,69%";"1,65";"9,27%";"20,09%";"6.427.370,00";"824.271.000,00";"15,10";"10,10%"
"BSCT6";"2,58";"22,49";"2,04";"0,000";"0,00%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"9,05%";"0,00";"212.960.000,00";"0,00";"1,92%"
"FRAS3";"4,79";"22,68";"1,30";"0,856";"7,16%";"0,682";"2,74";"11,49";"221,59";"13,31";"7,45%";"3,41%";"2,15";"7,15%";"5,72%";"390.355,00";"803.728.000,00";"0,42";"9,74%"
"TIET3";"2,74";"22,68";"3,68";"2,658";"6,82%";"0,681";"25,48";"8,02";"-1,17";"12,22";"33,14%";"11,72%";"1,13";"12,68%";"16,21%";"335.027,00";"1.466.650.000,00";"2,88";"-39,00%"
"RSIP3";"0,44";"22,70";"1,32";"0,875";"0,00%";"0,433";"-10,98";"9,53";"-1,46";"18,48";"9,17%";"3,85%";"0,90";"5,00%";"5,80%";"0,00";"66.914.000,00";"1,40";"15,13%"
"RSIP4";"0,44";"22,70";"1,32";"0,875";"0,00%";"0,433";"-10,98";"9,53";"-1,46";"18,48";"9,17%";"3,85%";"0,90";"5,00%";"5,80%";"0,00";"66.914.000,00";"1,40";"15,13%"
"CELP7";"5,25";"22,92";"3,79";"2,101";"0,59%";"1,213";"8,79";"10,90";"-3,64";"12,84";"19,27%";"9,17%";"1,66";"14,00%";"16,55%";"30.577,60";"3.057.230.000,00";"1,10";"8,01%"
"UGPA4";"27,10";"23,02";"3,15";"0,333";"0,00%";"0,967";"3,08";"17,05";"-5,10";"22,98";"1,95%";"1,44%";"2,76";"7,74%";"13,69%";"0,00";"9.572.320.000,00";"1,75";"6,12%"
"PNVL3";"390,00";"23,26";"3,69";"0,705";"1,61%";"1,460";"8,49";"13,11";"-67,22";"15,79";"5,38%";"3,03%";"1,42";"14,18%";"15,86%";"1.464.060,00";"477.291.000,00";"0,78";"6,64%"
"PCAR3";"100,00";"23,26";"2,50";"0,514";"1,46%";"0,815";"-48,60";"8,22";"-2,64";"8,68";"6,25%";"2,01%";"0,96";"15,26%";"10,73%";"3.819,05";"10.728.000.000,00";"0,58";"-9,22%"
"TVIT3";"19,30";"23,46";"5,45";"1,705";"0,00%";"2,424";"175,42";"16,02";"-12,72";"17,14";"10,64%";"7,27%";"1,04";"17,58%";"23,24%";"0,00";"314.984.000,00";"0,56";"0,00%"
"TUPY4";"48,21";"23,54";"3,18";"1,376";"0,00%";"1,418";"6,03";"16,29";"-16,64";"18,37";"8,45%";"5,85%";"2,00";"11,56%";"13,53%";"0,00";"2.182.970.000,00";"0,65";"11,50%"
"FLRY3";"23,40";"23,63";"4,35";"2,679";"4,33%";"1,588";"20,93";"14,30";"-3,85";"15,80";"18,72%";"11,34%";"1,51";"12,35%";"18,42%";"40.516.200,00";"1.702.580.000,00";"0,63";"11,52%"
"TMGC3";"1.500,00";"23,77";"3,05";"2,182";"0,00%";"2,101";"12,70";"33,47";"22,43";"32,14";"6,52%";"9,18%";"1,69";"8,73%";"12,83%";"0,00";"1.167.010.000,00";"0,05";"10,49%"
"REDE3";"7,20";"23,81";"4,21";"1,407";"4,66%";"0,811";"5,36";"10,37";"-2,01";"14,93";"13,57%";"8,09%";"1,79";"8,90%";"17,70%";"69.183,00";"3.515.880.000,00";"2,22";"10,45%"
"WEGE4";"16,10";"23,92";"4,21";"2,686";"0,00%";"2,266";"7,67";"17,76";"16,37";"17,83";"15,12%";"11,29%";"2,00";"16,81%";"17,62%";"0,00";"8.017.900.000,00";"0,36";"8,33%"
"TSEP4";"29,01";"23,97";"1,30";"1,282";"0,00%";"0,906";"3,80";"14,82";"4,43";"12,29";"8,65%";"5,35%";"1,88";"9,10%";"5,43%";"0,00";"2.047.020.000,00";"0,00";"4,50%"
"HGTX3";"34,81";"23,99";"4,10";"3,600";"3,08%";"3,079";"6,57";"25,87";"7,05";"24,48";"13,92%";"15,01%";"3,15";"17,85%";"17,11%";"61.241.200,00";"1.375.140.000,00";"0,05";"-0,44%"
"TESA3";"16,72";"24,48";"0,35";"0,335";"0,00%";"0,154";"152,30";"8,87";"-0,47";"26,56";"3,77%";"1,37%";"1,00";"1,94%";"1,43%";"770.887,00";"1.030.880.000,00";"0,71";"4,53%"
"MAGS3";"62,45";"24,49";"3,13";"2,217";"0,00%";"2,120";"4,90";"15,02";"6,65";"14,19";"14,76%";"8,91%";"3,06";"18,74%";"12,78%";"0,00";"848.546.000,00";"0,13";"10,05%"
"RAPT4";"10,05";"24,79";"2,21";"0,777";"2,45%";"0,601";"1,89";"8,18";"-8,32";"11,04";"9,49%";"4,36%";"2,25";"10,72%";"8,92%";"23.046.200,00";"1.571.940.000,00";"1,66";"5,44%"
"ENGI3";"13,70";"24,89";"4,44";"1,405";"1,56%";"0,663";"5,17";"12,89";"-1,27";"19,72";"10,90%";"5,96%";"1,70";"5,97%";"17,84%";"75.753,10";"5.599.070.000,00";"2,99";"13,03%"
"KLBN3";"3,86";"24,95";"3,51";"1,951";"4,93%";"0,609";"1,70";"7,24";"-1,65";"11,79";"26,96%";"8,34%";"4,84";"13,16%";"14,05%";"394.550,00";"5.955.730.000,00";"4,13";"19,91%"
"AZUL4";"54,55";"25,10";"-209,47";"1,837";"0,00%";"1,044";"-10,03";"16,36";"-1,33";"17,75";"11,23%";"7,32%";"0,68";"7,54%";"-834,46%";"128.495.000,00";"-88.430.000,00";"-34,50";"19,69%"
"CRUZ3";"27,59";"25,31";"22,46";"6,614";"0,00%";"7,185";"62,03";"20,74";"124,93";"20,75";"31,89%";"26,13%";"1,19";"46,80%";"88,76%";"0,00";"1.877.350.000,00";"0,63";"3,04%"
"CEPE6";"19,20";"25,85";"0,90";"0,314";"7,08%";"0,184";"2,04";"3,89";"-0,35";"15,58";"8,07%";"1,21%";"1,51";"5,44%";"3,48%";"182,86";"1.591.110.000,00";"2,96";"2,54%"
"TNLP4";"20,36";"25,96";"0,71";"0,344";"0,00%";"0,125";"1,29";"3,40";"-0,33";"9,07";"10,12%";"-0,07%";"1,48";"4,58%";"2,72%";"0,00";"13.736.000.000,00";"2,02";"15,39%"
"JPSA3";"31,75";"26,14";"1,90";"3,838";"1,25%";"0,520";"4,62";"7,16";"-1,73";"11,29";"53,60%";"32,33%";"3,46";"8,29%";"7,28%";"8.472.520,00";"1.465.940.000,00";"1,54";"4,41%"
"LIGT3";"20,70";"26,52";"1,77";"0,510";"0,63%";"0,349";"37,36";"5,12";"-0,69";"12,04";"9,97%";"1,92%";"1,03";"8,55%";"6,68%";"60.833.300,00";"3.553.710.000,00";"2,73";"5,51%"
"AMBV4";"86,80";"26,59";"8,74";"8,027";"0,00%";"5,253";"144,02";"20,54";"-37,72";"20,36";"39,08%";"30,76%";"1,18";"32,43%";"32,88%";"0,00";"31.105.700.000,00";"0,10";"21,73%"
"AMBV3";"87,00";"26,65";"8,76";"8,045";"0,00%";"5,266";"144,35";"20,59";"-37,80";"20,41";"39,08%";"30,76%";"1,18";"32,43%";"32,88%";"0,00";"31.105.700.000,00";"0,10";"21,73%"
"AMAR3";"9,15";"26,89";"2,00";"0,672";"0,00%";"0,521";"4,56";"14,10";"-2,14";"24,86";"4,76%";"1,03%";"1,30";"4,66%";"7,44%";"6.584.610,00";"933.576.000,00";"1,81";"-4,32%"
"CVCB3";"51,80";"26,99";"6,50";"4,110";"0,84%";"1,260";"7,48";"11,56";"-20,11";"13,37";"35,54%";"14,90%";"1,30";"12,18%";"24,08%";"104.423.000,00";"1.184.550.000,00";"1,14";"23,78%"
"RPSA4";"4,90";"27,33";"1,55";"5,697";"0,00%";"0,805";"5,09";"107,53";"-4,50";"137,55";"5,30%";"20,85%";"2,09";"0,85%";"5,69%";"0,00";"1.167.980.000,00";"0,61";"-14,23%"
"AESL3";"10.081,90";"27,38";"2,91";"2,137";"0,00%";"1,156";"14,42";"18,15";"-3,32";"23,49";"11,77%";"7,81%";"1,46";"7,40%";"10,63%";"0,00";"3.897.130.000,00";"0,98";"13,66%"
"AESL4";"10.081,90";"27,38";"2,91";"2,137";"0,00%";"1,156";"14,42";"18,15";"-3,32";"23,49";"11,77%";"7,81%";"1,46";"7,40%";"10,63%";"0,00";"3.897.130.000,00";"0,98";"13,66%"
"FRAS4";"5,79";"27,41";"1,57";"1,035";"0,00%";"0,824";"3,31";"13,89";"267,85";"15,71";"7,45%";"3,41%";"2,15";"7,15%";"5,72%";"0,00";"803.728.000,00";"0,42";"9,74%"
"ABEV3";"20,17";"27,89";"5,15";"6,116";"1,59%";"3,213";"67,28";"19,25";"-37,52";"18,68";"31,77%";"22,60%";"1,21";"22,46%";"18,46%";"416.191.000,00";"61.625.200.000,00";"0,08";"4,88%"
"UCAS3";"4,56";"27,97";"1,69";"2,009";"0,00%";"1,339";"3,68";"34,11";"4,26";"28,30";"5,89%";"7,18%";"3,30";"5,19%";"6,04%";"959.384,00";"178.292.000,00";"0,00";"-11,86%"
"SEBB11";"23,27";"28,01";"6,44";"2,214";"0,00%";"5,279";"24,65";"23,96";"28,94";"23,73";"9,24%";"7,40%";"2,44";"24,15%";"23,01%";"0,00";"145.783.000,00";"0,01";"50,04%"
"BMIN3";"16,93";"28,41";"0,69";"0,000";"0,23%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"2,42%";"499,62";"118.931.000,00";"0,00";"4,73%"
"DTEX3";"13,49";"28,50";"1,97";"1,869";"5,87%";"0,902";"5,78";"22,34";"-5,27";"27,27";"8,37%";"6,56%";"1,72";"4,78%";"6,93%";"23.777.400,00";"4.727.770.000,00";"0,69";"5,19%"
"ODPV3";"16,22";"28,52";"8,08";"4,932";"2,48%";"5,083";"37,68";"17,10";"99,21";"16,19";"28,85%";"17,37%";"1,47";"41,58%";"28,34%";"24.731.400,00";"1.066.300.000,00";"0,00";"9,17%"
"CELP5";"6,55";"28,59";"4,73";"2,621";"0,48%";"1,513";"10,97";"13,60";"-4,54";"15,54";"19,27%";"9,17%";"1,66";"14,00%";"16,55%";"27.383,70";"3.057.230.000,00";"1,10";"8,01%"
"CSAN3";"52,82";"28,76";"2,23";"3,682";"1,89%";"0,705";"5,64";"65,06";"-1,86";"90,38";"5,66%";"14,37%";"1,79";"1,30%";"7,76%";"73.779.400,00";"9.444.850.000,00";"1,24";"-7,72%"
"MOVI3";"16,90";"28,89";"3,01";"1,839";"1,41%";"0,859";"-11,66";"11,51";"-2,07";"15,28";"15,98%";"6,37%";"0,80";"11,99%";"10,40%";"31.049.600,00";"1.680.820.000,00";"1,50";"24,25%"
"CEPE5";"21,59";"29,06";"1,01";"0,353";"5,72%";"0,207";"2,30";"4,37";"-0,39";"16,06";"8,07%";"1,21%";"1,51";"5,44%";"3,48%";"10.762,60";"1.591.110.000,00";"2,96";"2,54%"
"SUZB6";"17,88";"29,38";"1,20";"1,242";"0,00%";"0,246";"2,71";"6,60";"-0,42";"21,91";"18,83%";"4,21%";"1,79";"4,23%";"4,08%";"0,00";"20.313.100.000,00";"3,17";"18,75%"
"BMIN4";"18,00";"30,21";"0,73";"0,000";"7,78%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"2,42%";"10.068,50";"118.931.000,00";"0,00";"4,73%"
"DTCY3";"4,52";"30,48";"8,38";"2,122";"0,00%";"1,095";"-5,14";"8,44";"-1,96";"10,45";"25,12%";"6,96%";"0,59";"14,68%";"27,48%";"24.962,20";"4.203.000,00";"2,00";"7,33%"
"BSCT5";"3,50";"30,51";"2,76";"0,000";"0,00%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"9,05%";"0,00";"212.960.000,00";"0,00";"1,92%"
"LCAM3";"57,29";"30,68";"3,22";"2,159";"1,57%";"0,958";"-91,23";"11,97";"-2,00";"16,84";"18,03%";"7,04%";"0,96";"10,99%";"10,49%";"27.958.300,00";"2.657.550.000,00";"1,58";"55,56%"
"VULC4";"18,00";"31,19";"4,43";"3,395";"0,00%";"3,299";"7,84";"29,73";"10,08";"29,48";"11,42%";"10,89%";"3,59";"12,55%";"14,22%";"0,00";"997.658.000,00";"0,05";"9,55%"
"BMKS3";"251,20";"31,31";"0,60";"8,275";"3,34%";"0,520";"0,71";"-24,58";"0,84";"5,71";"-33,67%";"26,43%";"30,30";"-6,84%";"1,93%";"2.386,25";"189.150.000,00";"0,05";"-17,41%"
"ARZZ3";"50,91";"31,69";"6,82";"2,906";"3,43%";"3,551";"10,13";"25,75";"18,36";"25,30";"11,29%";"9,17%";"2,09";"19,23%";"21,52%";"14.615.000,00";"678.848.000,00";"0,26";"9,96%"
"CREM3";"14,50";"32,69";"2,45";"0,685";"0,00%";"0,670";"4,89";"8,52";"-5,41";"12,04";"8,05%";"2,10%";"1,29";"11,36%";"7,50%";"0,00";"189.701.000,00";"1,58";"-0,27%"
"CEPE3";"24,53";"33,02";"1,15";"0,401";"0,00%";"0,236";"2,61";"4,97";"-0,45";"16,65";"8,07%";"1,21%";"1,51";"5,44%";"3,48%";"0,00";"1.591.110.000,00";"2,96";"2,54%"
"TSEP3";"40,00";"33,05";"1,79";"1,768";"0,00%";"1,250";"5,24";"20,44";"6,11";"17,91";"8,65%";"5,35%";"1,88";"9,10%";"5,43%";"0,00";"2.047.020.000,00";"0,00";"4,50%"
