"Papel";"Cotação";"P/L";"P/VP";"PSR";"Div.Yield";"P/Ativo";"P/Cap.Giro";"P/EBIT";"P/Ativ Circ.Liq";"EV/EBIT";"Mrg Ebit";"Mrg. Líq.";"Liq. Corr.";"ROIC";"ROE";"Liq.2meses";"Patrim. Líq";"Dív.Brut/ Patrim.";"Cresc. Rec.5a"
"CGRA3";"24,00";"9,36";"0,93";"1,041";"4,60%";"0,687";"2,38";"11,60";"3,68";"10,44";"8,97%";"11,12%";"2,84";"7,27%";"9,92%";"46.962,90";"519.373.000,00";"0,00";"3,41%"
"BBAS3";"48,80";"9,36";"1,53";"0,000";"4,57%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"16,29%";"570.776.000,00";"91.686.000.000,00";"0,00";"11,40%"
"WIZS3";"11,80";"9,42";"8,50";"3,112";"0,00%";"3,338";"-58,33";"5,48";"-14,13";"5,15";"56,75%";"34,47%";"0,86";"83,02%";"90,17%";"9.358.410,00";"222.031.000,00";"0,00";"18,40%"
"BEES3";"6,60";"9,43";"1,37";"0,000";"5,00%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"14,51%";"416.262,00";"1.523.490.000,00";"0,00";"10,19%"
"MRSL4";"3,05";"9,48";"0,91";"0,816";"0,00%";"0,609";"2,19";"15,08";"5,80";"16,51";"5,41%";"8,69%";"2,78";"4,44%";"9,63%";"0,00";"375.151.000,00";"0,16";"7,10%"
"CGRA4";"24,30";"9,48";"0,94";"1,054";"4,54%";"0,696";"2,40";"11,74";"3,73";"10,59";"8,97%";"11,12%";"2,84";"7,27%";"9,92%";"446.500,00";"519.373.000,00";"0,00";"3,41%"
"ENBR3";"20,56";"9,48";"1,40";"0,891";"3,82%";"0,511";"5,61";"6,41";"-1,76";"9,13";"13,90%";"10,47%";"1,44";"9,61%";"14,72%";"53.483.100,00";"8.936.360.000,00";"0,87";"11,59%"
"BRKM3";"32,84";"9,50";"2,94";"0,455";"0,00%";"0,410";"-4,93";"4,99";"-0,73";"8,64";"9,13%";"4,73%";"0,79";"10,87%";"30,96%";"404.810,00";"8.907.290.000,00";"2,88";"5,39%"
"FIGE3";"43,00";"9,58";"0,45";"0,000";"0,09%";"0,453";"0,00";"-90,04";"0,00";"-90,03";"0,00%";"0,00%";"0,00";"0,00%";"4,74%";"0,00";"224.159.000,00";"0,00";"0,00%"
"REDE4";"2,90";"9,59";"1,70";"0,567";"0,00%";"0,327";"2,16";"4,18";"-0,81";"8,73";"13,57%";"8,09%";"1,79";"8,90%";"17,70%";"0,00";"3.515.880.000,00";"2,22";"10,45%"
"CRIV3";"6,00";"9,61";"0,68";"0,000";"0,54%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"7,06%";"61.348,00";"910.359.000,00";"0,00";"0,96%"
"SHUL4";"9,42";"9,63";"1,45";"0,817";"2,68%";"0,595";"1,48";"8,75";"13,88";"11,26";"9,34%";"8,49%";"2,73";"9,53%";"15,09%";"881.107,00";"579.374.000,00";"0,97";"12,88%"
"TAEE4";"9,45";"9,64";"2,06";"5,881";"4,12%";"1,075";"6,23";"8,86";"-4,65";"12,14";"66,40%";"61,03%";"3,29";"12,22%";"21,42%";"96.735,60";"4.731.630.000,00";"0,77";"-2,98%"
"CTWR3";"100,00";"9,76";"56,77";"0,317";"0,00%";"1,141";"3,79";"-10,64";"-142,17";"-8,91";"-2,98%";"3,25%";"1,45";"-21,86%";"581,91%";"0,00";"879.000,00";"5,52";"4,94%"
"TAEE11";"28,83";"9,80";"2,10";"5,980";"9,56%";"1,093";"6,33";"9,01";"-4,73";"12,29";"66,40%";"61,03%";"3,29";"12,22%";"21,42%";"37.601.200,00";"4.731.630.000,00";"0,77";"-2,98%"
"DOHL4";"6,94";"9,81";"0,73";"0,875";"3,17%";"0,585";"1,42";"15,92";"2,10";"15,18";"5,50%";"8,93%";"7,13";"4,01%";"7,46%";"11.300,90";"573.640.000,00";"0,05";"5,47%"
"VIVO4";"71,80";"9,81";"2,93";"1,491";"0,00%";"1,282";"-31,87";"6,78";"-5,17";"7,22";"22,01%";"15,20%";"0,89";"23,92%";"29,88%";"0,00";"9.816.290.000,00";"0,35";"13,06%"
"SOND5";"35,00";"9,87";"1,41";"1,636";"17,98%";"1,010";"2,92";"84,51";"4,58";"61,32";"1,94%";"16,58%";"3,18";"1,68%";"14,29%";"3.521,79";"60.989.000,00";"0,00";"-26,11%"
"GOAU3";"6,41";"9,88";"0,71";"0,154";"3,63%";"0,133";"0,76";"1,63";"-0,86";"4,69";"9,49%";"4,42%";"2,13";"9,22%";"7,18%";"431.032,00";"9.564.460.000,00";"1,56";"0,30%"
"ALUP4";"8,22";"9,94";"1,53";"2,713";"2,55%";"0,469";"2,15";"4,29";"-1,99";"5,99";"63,30%";"47,32%";"3,24";"14,61%";"15,37%";"29.306,60";"4.730.850.000,00";"1,35";"12,55%"
"GGBR3";"11,49";"9,95";"0,75";"0,450";"3,83%";"0,386";"2,15";"4,73";"-2,58";"7,73";"9,51%";"4,57%";"2,19";"9,25%";"7,54%";"697.977,00";"26.365.100.000,00";"0,56";"0,30%"
"JOPA4";"23,00";"10,08";"0,50";"0,211";"3,10%";"0,129";"0,39";"3,93";"-17,63";"10,72";"5,38%";"2,62%";"2,09";"4,49%";"4,92%";"265,17";"490.684.000,00";"1,81";"2,31%"
"GOAU4";"6,59";"10,16";"0,73";"0,159";"3,53%";"0,136";"0,78";"1,67";"-0,89";"4,74";"9,49%";"4,42%";"2,13";"9,22%";"7,18%";"67.251.600,00";"9.564.460.000,00";"1,56";"0,30%"
"MRSL3";"3,30";"10,25";"0,99";"0,883";"0,00%";"0,658";"2,37";"16,32";"6,28";"17,74";"5,41%";"8,69%";"2,78";"4,44%";"9,63%";"0,00";"375.151.000,00";"0,16";"7,10%"
